RegionID,Region,Provincia,Comuna,Superficie,Poblacion,Densidad,IDH_2005
7,Metropolitana de Santiago,Chacabuco,Colina,971.2,113340,80.1,0.726
7,Metropolitana de Santiago,Santiago,Conchalí,10.7,121118,11229,0.707
7,Metropolitana de Santiago,Melipilla,Curacaví,693,28439,35.1,0.71
7,Metropolitana de Santiago,Santiago,El Bosque,14.2,162671,12365,0.711
7,Metropolitana de Santiago,Talagante,El Monte,118,32468,224.2,0.688
7,Metropolitana de Santiago,Santiago,Estación Central,15,119292,8601.5,0.735
7,Metropolitana de Santiago,Santiago,Huechuraba,44.8,87667,1886.6,0.737
7,Metropolitana de Santiago,Santiago,Independencia,7,73874,9354.1,0.709
7,Metropolitana de Santiago,Talagante,Isla de Maipo,189,33723,136.5,0.724
7,Metropolitana de Santiago,Santiago,La Cisterna,10,80910,8511.8,0.775
7,Metropolitana de Santiago,Santiago,La Florida,70.2,397497,5209,0.804
7,Metropolitana de Santiago,Santiago,La Granja,10,121214,13252,0.689
7,Metropolitana de Santiago,Santiago,La Pintana,30.6,202146,8511.8,0.679
7,Metropolitana de Santiago,Santiago,La Reina,23,91927,9618.3,0.883
7,Metropolitana de Santiago,Chacabuco,Lampa,452,79421,89,0.697
7,Metropolitana de Santiago,Santiago,Las Condes,99,289949,2524.2,0.933
7,Metropolitana de Santiago,Santiago,Lo Barnechea,1024,97230,73,0.912
7,Metropolitana de Santiago,Santiago,Lo Espejo,7,99527,15667,0.657
7,Metropolitana de Santiago,Santiago,Lo Prado,7,94766,13100.4,0.715
7,Metropolitana de Santiago,Santiago,Macul,12.9,111436,8656.5,0.806
7,Metropolitana de Santiago,Santiago,Maipú,135.5,805000,3876.2,0.902
7,Metropolitana de Santiago,Melipilla,María Pinto,393.5,12501,115.6,0.698
7,Metropolitana de Santiago,Melipilla,Melipilla,1345,107698,70.3,0.735
7,Metropolitana de Santiago,Santiago,Ñuñoa,16.9,195410,8937.5,0.86
7,Metropolitana de Santiago,Talagante,Padre Hurtado,80.8,50696,626.2,0.728
7,Metropolitana de Santiago,Maipo,Paine,820,66512,73.7,0.718
7,Metropolitana de Santiago,Santiago,Pedro Aguirre Cerda,10,104018,11456,0.708
7,Metropolitana de Santiago,Talagante,Peñaflor,69,87741,965.5,0.753
7,Metropolitana de Santiago,Santiago,Peñalolén,54,249621,4001.1,0.743
