año,n_concursados,n_aprobados,monto_solicitado,monto_aprobado
2007,58,37,,922052
2008,110,74,1684744,1132227
2009,76,66,1245880,1084471
2010,140,80,6856883,3959662
2011,172,90,8686381,4662685
2012,226,150,12282093,8274817
2013,432,238,26740972,14980070
2014,629,303,40757915,19868554
2015,700,301,46696085,20580012
2016,791,291,55318090,20870304
2017,955,310,68985186,23231581
